id_hecho;n_victimas;fecha;aaaa;mm;dd;hora;hh;direccion_normalizada;calle;altura;cruce;otra_direccion;comuna;tipo_de_calle;geocodificacion_caba;longitud;latitud;participantes;victima;contraparte;gravedad;tipo_de_dato
LC-2020-0160832;1;2020-03-12;2020;3;12;04:00:00 p.m.;16;GOYENECHE, ROBERTO PARQUE AV. y BESARES;GOYENECHE, ROBERTO PARQUE AV.;0;BESARES;SD;12;AVENIDA;Point (97608.7499021154 108406.172517294);-58.489353099715;-34.553490154033;MOTO-UTILITARIO;MOTO;UTILITARIO;SD;definitivo
LC-2020-0165618;1;2020-03-15;2020;3;15;10:15:00 p.m.;22;DONADO y SUCRE, ANTONIO JOSE DE, MCAL.;DONADO;0;SUCRE, ANTONIO JOSE DE, MCAL.;SD;12;CALLE;Point (99063.8882686817 106055.571462482);-58.473501423050;-34.574682039143;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0170509;1;2020-03-17;2020;3;17;02:45:00 p.m.;14;DONADO y RAMALLO;DONADO;0;RAMALLO;SD;12;CALLE;Point (97429.222927938 108654.627591262);-58.491308363643;-34.551250013240;AUTO-AUTO;AUTO;AUTO;SD;definitivo
LC-2020-0171000;1;2020-03-17;2020;3;17;05:20:00 p.m.;17;ECHEVERRIA y CERETTI;ECHEVERRIA;0;CERETTI;SD;12;CALLE;Point (97651.4066588523 105088.788214128);-58.488897711463;-34.583394735452;BICICLETA-SD;BICICLETA;SD;SD;definitivo
LC-2020-0170013;1;2020-03-17;2020;3;17;10:40:00 a.m.;10;DE LOS CONSTITUYENTES AV. y CONGRESO AV.;DE LOS CONSTITUYENTES AV.;0;CONGRESO AV.;SD;12;AVENIDA;Point (96569.0172266747 105987.253508552);-58.500691388448;-34.575292454652;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0170251;1;2020-03-17;2020;3;17;05:30:00 p.m.;17;MOSCONI GENERAL AV. y CASTELLANOS, JOAQUIN;MOSCONI GENERAL AV.;0;CASTELLANOS, JOAQUIN;SD;12;AVENIDA;Point (96371.853370126 104723.882673557);-58.502845617093;-34.586680367851;PEATON-AUTO;PEATON;AUTO;SD;definitivo
LC-2020-0185424;1;2020-04-01;2020;4;1;07:55:00 a.m.;7;MOSCONI GENERAL AV. 2985;MOSCONI GENERAL AV.;2985;;SD;12;AVENIDA;Point (96319.0989385014 104710.272483173);-58.50342068957;-34.586802865696;PEATON-AUTO;PEATON;AUTO;SD;definitivo
LC-2020-0187268;1;2020-04-02;2020;4;2;07:30:00 p.m.;19;ACHA, MARIANO, GRAL. y CONGRESO AV.;ACHA, MARIANO, GRAL.;0;CONGRESO AV.;SD;12;AVENIDA;Point (98213.68389594 107033.942571884);-58.482765030168;-34.565861367011;AUTO-OTRO;AUTO;OTRO;SD;definitivo
LC-2020-0194014;1;2020-04-09;2020;4;9;08:45:00 p.m.;20;MONROE 4023;MONROE;4023;;SD;12;CALLE;Point (98872.7491479556 106823.716809205);-58.475583433754;-34.567757411924;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0196112;1;2020-04-12;2020;4;12;07:30:00 p.m.;19;CORREA y CONESA;CORREA;0;CONESA;SD;12;CALLE;Point (98715.3446613613 109290.308265281);-58.477294838687;-34.545522144972;MOTO-AUTO;MOTO;AUTO;SD;definitivo
LC-2020-0195848;1;2020-04-12;2020;4;12;12:00:00 p.m.;12;DONADO y NUÃ‘EZ;DONADO;0;NUÃ‘EZ;SD;12;CALLE;Point (97980.8382363314 107690.777800125);-58.485300766784;-34.559939892721;MOTO-MOVIL;MOTO;MOVIL;SD;definitivo
LC-2020-0196907;1;2020-04-13;2020;4;13;03:48:00 p.m.;15;ALTOLAGUIRRE y TAMBORINI, JOSE PASCUAL;ALTOLAGUIRRE;0;TAMBORINI, JOSE PASCUAL;SD;12;CALLE;Point (96887.2028500448 106675.380355879);-58.497221138362;-34.569090386115;MOTO-UTILITARIO;MOTO;UTILITARIO;SD;definitivo
LC-2020-0197870;1;2020-04-14;2020;4;14;02:00:00 p.m.;14;OBISPO SAN ALBERTO y ZAMUDIO;OBISPO SAN ALBERTO;0;ZAMUDIO;SD;12;CALLE;Point (96612.1426607208 105609.223310837);-58.500222925269;-34.578700338982;MOTO-CAMION;MOTO;CAMION;SD;definitivo
LC-2020-0199459;1;2020-04-15;2020;4;15;10:00:00 p.m.;22;PLAZA y LARRALDE, CRISOLOGO AV.;PLAZA;0;LARRALDE, CRISOLOGO AV.;SD;12;AVENIDA;Point (98041.5530259987 107926.632167862);-58.484638641402;-34.557813906483;MOTO-SD;MOTO;SD;SD;definitivo
LC-2020-0199825;4;2020-04-16;2020;4;16;08:00:00 a.m.;8;PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.;PAZ, GRAL. AV.;0;DE LOS CONSTITUYENTES AV.;SD;12;AV. GRAL. PAZ;Point (95720.9483675134 106663.037560225);-58.509930461176;-34.56919739421;AUTO-TAXI;AUTO;TAXI;SD;definitivo
LC-2020-0207083;1;2020-04-22;2020;4;22;04:00:00 p.m.;16;BALBIN, RICARDO, DR. AV. y QUESADA;BALBIN, RICARDO, DR. AV.;0;QUESADA;SD;12;AVENIDA;Point (99113.9776954177 107742.025551365);-58.472953670557;-34.559479581745;MOTO-SD;MOTO;SD;GRAVE;definitivo
LC-2020-0207810;1;2020-04-23;2020;4;23;08:00:00 a.m.;8;PIRAN 5946;PIRAN;5946;;SD;12;CALLE;Point (96505.5298455292 106675.207946029);-58.501380421486;-34.569090693221;MOTO-OBJETO FIJO;MOTO;OBJETO FIJO;SD;definitivo
LC-2020-0219802;1;2020-04-28;2020;4;28;12:50:00 p.m.;12;PLAZA y VILELA;PLAZA;0;VILELA;SD;12;CALLE;Point (97800.7868265282 108415.002437141);-58.487260743970;-34.553410995554;BICICLETA-AUTO;BICICLETA;AUTO;SD;definitivo
LC-2020-0221247;1;2020-04-29;2020;4;29;12:00:00 a.m.;0;PAZ, GRAL. AV. 3800;PAZ, GRAL. AV.;3800;;SD;12;AV. GRAL. PAZ;Point (96458.8474093152 108231.778792455);-58.501882562566;-34.555058847753;PEATON-AUTO;PEATON;AUTO;SD;definitivo
